Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Яркие дизайнерские апартаменты;1-комн. квартира, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;3 600 ?/сутки;10 из 14;32 м?;сегодня, 13:02;https://www.cian.ru/rent/flat/234256753/;['https://cdn-p.cian.site/images/0/113/649/kvartira-moskva-hodynskiy-bulvar-946311033-4.jpg', 'https://cdn-p.cian.site/images/0/113/649/kvartira-moskva-hodynskiy-bulvar-946311033-4.jpg', 'https://cdn-p.cian.site/images/0/113/649/kvartira-moskva-hodynskiy-bulvar-946311042-2.jpg', 'https://cdn-p.cian.site/images/0/113/649/kvartira-moskva-hodynskiy-bulvar-946311032-2.jpg', 'https://cdn-p.cian.site/images/0/113/649/kvartira-moskva-hodynskiy-bulvar-946311029-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Апартаменты кофе с молоком;2-комн. квартира, 45 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;5 200 ?/сутки;8 из 14;45 м?;сегодня, 13:02;https://www.cian.ru/rent/flat/238221889/;['https://cdn-p.cian.site/images/9/697/829/kvartira-moskva-hodynskiy-bulvar-928796995-4.jpg', 'https://cdn-p.cian.site/images/9/697/829/kvartira-moskva-hodynskiy-bulvar-928796995-4.jpg', 'https://cdn-p.cian.site/images/0/797/829/kvartira-moskva-hodynskiy-bulvar-928797006-2.jpg', 'https://cdn-p.cian.site/images/0/797/829/kvartira-moskva-hodynskiy-bulvar-928797019-2.jpg', 'https://cdn-p.cian.site/images/0/797/829/kvartira-moskva-hodynskiy-bulvar-928797022-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Уютная квартира в минуте от метро;1-комн. квартира, 43 м?;Москва, ЗАО, р-н Кунцево, Ярцевская ул., 24К2;2 500 ?/сутки;2 из 25;43 м?;вчера, 15:21;https://www.cian.ru/rent/flat/234373338/;['https://cdn-p.cian.site/images/6/799/698/kvartira-moskva-yarcevskaya-ulica-896997686-4.jpg', 'https://cdn-p.cian.site/images/6/799/698/kvartira-moskva-yarcevskaya-ulica-896997686-4.jpg', 'https://cdn-p.cian.site/images/6/799/698/kvartira-moskva-yarcevskaya-ulica-896997684-2.jpg', 'https://cdn-p.cian.site/images/6/799/698/kvartira-moskva-yarcevskaya-ulica-896997683-2.jpg', 'https://cdn-p.cian.site/images/6/799/698/kvartira-moskva-yarcevskaya-ulica-896997688-2.jpg']
;;;;;;;;
Апартаменты бизнес класса;2-комн. апартаменты, 55 м?;Москва, САО, р-н Головинский, Кронштадтский бул., 6к2;3 000 ?/сутки;18 из 26;55 м?;сегодня, 13:21;https://www.cian.ru/rent/flat/188574943/;['https://cdn-p.cian.site/images/7/430/505/kvartira-moskva-kronshtadtskiy-bulvar-505034708-4.jpg', 'https://cdn-p.cian.site/images/7/430/505/kvartira-moskva-kronshtadtskiy-bulvar-505034708-4.jpg', 'https://cdn-p.cian.site/images/2/430/505/kvartira-moskva-kronshtadtskiy-bulvar-505034240-2.jpg', 'https://cdn-p.cian.site/images/2/430/505/kvartira-moskva-kronshtadtskiy-bulvar-505034246-2.jpg', 'https://cdn-p.cian.site/images/2/430/505/kvartira-moskva-kronshtadtskiy-bulvar-505034239-2.jpg', 'https://www.cian.ru/avatar.axd?i=240728&t=2&p=2']
;;;;;;;;
Красивый лофт Бизнес-класса;Студия, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 000 ?/сутки;3 из 15;32 м?;сегодня, 17:30;https://www.cian.ru/rent/flat/252107726/;['https://cdn-p.cian.site/images/24/444/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044444226-4.jpg', 'https://cdn-p.cian.site/images/24/444/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044444226-4.jpg', 'https://cdn-p.cian.site/images/24/444/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044444287-2.jpg', 'https://cdn-p.cian.site/images/14/444/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044444175-2.jpg', 'https://cdn-p.cian.site/images/14/444/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044444181-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Дизайнерские апарты на Москва-Сит;Студия, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 000 ?/сутки;11 из 14;32 м?;сегодня, 13:11;https://www.cian.ru/rent/flat/228122870/;['https://cdn-p.cian.site/images/7/553/748/kvartira-moskva-hodynskiy-bulvar-847355757-4.jpg', 'https://cdn-p.cian.site/images/7/553/748/kvartira-moskva-hodynskiy-bulvar-847355757-4.jpg', 'https://cdn-p.cian.site/images/7/553/748/kvartira-moskva-hodynskiy-bulvar-847355730-2.jpg', 'https://cdn-p.cian.site/images/7/553/748/kvartira-moskva-hodynskiy-bulvar-847355728-2.jpg', 'https://cdn-p.cian.site/images/7/553/748/kvartira-moskva-hodynskiy-bulvar-847355702-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Стильная квартира у метро;2-комн. квартира, 62 м?;Москва, ЗАО, р-н Кунцево, Молодогвардейская ул., 34;3 000 ?/сутки;4 из 17;62 м?;сегодня, 11:21;https://www.cian.ru/rent/flat/243749077/;['https://cdn-p.cian.site/images/0/446/379/kvartira-moskva-molodogvardeyskaya-ulica-973644017-4.jpg', 'https://cdn-p.cian.site/images/0/446/379/kvartira-moskva-molodogvardeyskaya-ulica-973644017-4.jpg', 'https://cdn-p.cian.site/images/0/446/379/kvartira-moskva-molodogvardeyskaya-ulica-973644029-2.jpg', 'https://cdn-p.cian.site/images/0/446/379/kvartira-moskva-molodogvardeyskaya-ulica-973644020-2.jpg', 'https://cdn-p.cian.site/images/0/446/379/kvartira-moskva-molodogvardeyskaya-ulica-973644028-2.jpg']
;;;;;;;;
Уют и красивый вид с 7 этажа;1-комн. апартаменты, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 2;3 600 ?/сутки;7 из 15;32 м?;сегодня, 07:23;https://www.cian.ru/rent/flat/251193981/;['https://cdn-p.cian.site/images/86/546/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1036456826-4.jpg', 'https://cdn-p.cian.site/images/86/546/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1036456826-4.jpg', 'https://cdn-p.cian.site/images/86/546/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1036456824-2.jpg', 'https://cdn-p.cian.site/images/86/546/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1036456822-2.jpg', 'https://cdn-p.cian.site/images/86/546/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1036456832-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
2-комн. кв., 46 м?, 3/15 этаж;2-комн. квартира, 46 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;6 800 ?/сутки;3 из 15;46 м?;сегодня, 20:16;https://www.cian.ru/rent/flat/250693525/;['https://cdn-p.cian.site/images/15/432/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1032345103-4.jpg', 'https://cdn-p.cian.site/images/15/432/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1032345103-4.jpg', 'https://cdn-p.cian.site/images/05/432/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1032345097-2.jpg', 'https://cdn-p.cian.site/images/15/432/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1032345102-2.jpg', 'https://cdn-p.cian.site/images/15/432/301/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1032345100-2.jpg']
;;;;;;;;
Рядом с метро Саларьево;1-комн. квартира, 20,3 м?;Москва, НАО (Новомосковский), Московский поселение, ул. Саларьевская, 14к3;2 100 ?/сутки;2 из 15;20,3 м?;сегодня, 12:51;https://www.cian.ru/rent/flat/222195787/;['https://cdn-p.cian.site/images/4/137/999/posutochnaja-kvartira-moskovskiy-salarevskaya-ulica-999731427-4.jpg', 'https://cdn-p.cian.site/images/4/137/999/posutochnaja-kvartira-moskovskiy-salarevskaya-ulica-999731427-4.jpg', 'https://cdn-p.cian.site/images/2/995/999/posutochnaja-kvartira-moskovskiy-salarevskaya-ulica-999599243-2.jpg', 'https://cdn-p.cian.site/images/1/995/999/posutochnaja-kvartira-moskovskiy-salarevskaya-ulica-999599136-2.jpg', 'https://cdn-p.cian.site/images/0/995/999/posutochnaja-kvartira-moskovskiy-salarevskaya-ulica-999599015-2.jpg']
;;;;;;;;
50 оттенков серого в ЖК Лайнер;1-комн. квартира, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 000 ?/сутки;7 из 14;32 м?;сегодня, 13:36;https://www.cian.ru/rent/flat/236463197/;['https://cdn-p.cian.site/images/8/403/739/kvartira-moskva-hodynskiy-bulvar-937304857-4.jpg', 'https://cdn-p.cian.site/images/8/403/739/kvartira-moskva-hodynskiy-bulvar-937304857-4.jpg', 'https://cdn-p.cian.site/images/8/403/739/kvartira-moskva-hodynskiy-bulvar-937304856-2.jpg', 'https://cdn-p.cian.site/images/8/403/739/kvartira-moskva-hodynskiy-bulvar-937304858-2.jpg', 'https://cdn-p.cian.site/images/8/403/739/kvartira-moskva-hodynskiy-bulvar-937304859-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Топ апартаменты в ЖК Лайнер;1-комн. квартира, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 500 ?/сутки;9 из 15;32 м?;сегодня, 13:31;https://www.cian.ru/rent/flat/234926956/;['https://cdn-p.cian.site/images/25/272/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022725299-4.jpg', 'https://cdn-p.cian.site/images/25/272/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022725299-4.jpg', 'https://cdn-p.cian.site/images/35/272/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022725310-2.jpg', 'https://cdn-p.cian.site/images/25/272/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022725297-2.jpg', 'https://cdn-p.cian.site/images/25/272/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022725281-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Студия рядом с Внуково;Студия, 22 м?;Москва, ЗАО, р-н Ново-Переделкино, Боровское ш., 47;2 290 ?/сутки;1 из 17;22 м?;сегодня, 07:51;https://www.cian.ru/rent/flat/214545356/;['https://cdn-p.cian.site/images/5/896/237/kvartira-moskva-borovskoe-shosse-732698573-4.jpg', 'https://cdn-p.cian.site/images/5/896/237/kvartira-moskva-borovskoe-shosse-732698573-4.jpg', 'https://cdn-p.cian.site/images/5/896/237/kvartira-moskva-borovskoe-shosse-732698576-2.jpg', 'https://cdn-p.cian.site/images/5/896/237/kvartira-moskva-borovskoe-shosse-732698575-2.jpg', 'https://cdn-p.cian.site/images/5/896/237/kvartira-moskva-borovskoe-shosse-732698581-2.jpg', 'https://www.cian.ru/avatar.axd?i=246189&t=2&p=2']
;;;;;;;;
50 оттенков мяты в ЖК Лайнер;1-комн. квартира, 30 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 000 ?/сутки;14 из 15;30 м?;сегодня, 19:18;https://www.cian.ru/rent/flat/234846278/;['https://cdn-p.cian.site/images/72/465/101/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1015642790-4.jpg', 'https://cdn-p.cian.site/images/72/465/101/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1015642790-4.jpg', 'https://cdn-p.cian.site/images/41/172/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022711484-2.jpg', 'https://cdn-p.cian.site/images/2/023/719/kvartira-moskva-hodynskiy-bulvar-917320243-2.jpg', 'https://cdn-p.cian.site/images/41/172/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1022711482-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Красное и чёрное в ЖК Лайнер;1-комн. квартира, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;4 000 ?/сутки;12 из 14;32 м?;сегодня, 17:33;https://www.cian.ru/rent/flat/228942441/;['https://cdn-p.cian.site/images/2/007/358/kvartira-moskva-hodynskiy-bulvar-853700251-4.jpg', 'https://cdn-p.cian.site/images/2/007/358/kvartira-moskva-hodynskiy-bulvar-853700251-4.jpg', 'https://cdn-p.cian.site/images/1/007/358/kvartira-moskva-hodynskiy-bulvar-853700172-2.jpg', 'https://cdn-p.cian.site/images/2/007/358/kvartira-moskva-hodynskiy-bulvar-853700219-2.jpg', 'https://cdn-p.cian.site/images/2/007/358/kvartira-moskva-hodynskiy-bulvar-853700241-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
1-комн. апарт., 20 м?, 5/9 этаж;1-комн. апартаменты, 20 м?;Москва, ВАО, р-н Преображенское, ул. Хромова, 3;2 500 ?/сутки;5 из 9;20 м?;сегодня, 12:03;https://www.cian.ru/rent/flat/203095793/;['https://cdn-p.cian.site/images/7/205/556/kvartira-moskva-ulica-hromova-655502746-4.jpg', 'https://cdn-p.cian.site/images/7/205/556/kvartira-moskva-ulica-hromova-655502746-4.jpg', 'https://cdn-p.cian.site/images/7/205/556/kvartira-moskva-ulica-hromova-655502775-2.jpg', 'https://cdn-p.cian.site/images/7/205/556/kvartira-moskva-ulica-hromova-655502751-2.jpg', 'https://cdn-p.cian.site/images/7/205/556/kvartira-moskva-ulica-hromova-655502730-2.jpg', 'https://www.cian.ru/avatar.axd?i=257245&t=2&p=2']
;;;;;;;;
Цветочная симфония в ЖК Лайнер;Студия, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 2;4 200 ?/сутки;9 из 15;32 м?;сегодня, 00:37;https://www.cian.ru/rent/flat/252082527/;['https://cdn-p.cian.site/images/51/124/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044211574-4.jpg', 'https://cdn-p.cian.site/images/51/124/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044211574-4.jpg', 'https://cdn-p.cian.site/images/51/124/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044211573-2.jpg', 'https://cdn-p.cian.site/images/51/124/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044211577-2.jpg', 'https://cdn-p.cian.site/images/51/124/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1044211578-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Бежевая карамель в ЖК Лайнер;Студия, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;5 000 ?/сутки;2 из 15;32 м?;сегодня, 13:31;https://www.cian.ru/rent/flat/222832777/;['https://cdn-p.cian.site/images/8/605/697/kvartira-moskva-hodynskiy-bulvar-796506804-4.jpg', 'https://cdn-p.cian.site/images/8/605/697/kvartira-moskva-hodynskiy-bulvar-796506804-4.jpg', 'https://cdn-p.cian.site/images/4/515/697/kvartira-moskva-hodynskiy-bulvar-796515498-2.jpg', 'https://cdn-p.cian.site/images/8/605/697/kvartira-moskva-hodynskiy-bulvar-796506819-2.jpg', 'https://cdn-p.cian.site/images/5/515/697/kvartira-moskva-hodynskiy-bulvar-796515552-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
1-комн. кв., 25 м?, 4/5 этаж;1-комн. квартира, 25 м?;Москва, ЮАО, р-н Даниловский, Автозаводская ул., 19К1;2 200 ?/сутки;4 из 5;25 м?;сегодня, 06:21;https://www.cian.ru/rent/flat/243754961/;['https://cdn-p.cian.site/images/2/987/899/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-998789217-4.jpg', 'https://cdn-p.cian.site/images/2/987/899/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-998789217-4.jpg', 'https://cdn-p.cian.site/images/5/196/379/kvartira-moskva-avtozavodskaya-ulica-973691539-2.jpg', 'https://cdn-p.cian.site/images/5/196/379/kvartira-moskva-avtozavodskaya-ulica-973691543-2.jpg', 'https://cdn-p.cian.site/images/5/196/379/kvartira-moskva-avtozavodskaya-ulica-973691540-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Kuzminki by Apart In! Люкс!;1-комн. квартира, 40 м?;Москва, ЮВАО, р-н Кузьминки, Волжский Бульвар 114А квартал, к9;2 247 ?/сутки;10 из 16;40 м?;сегодня, 13:47;https://www.cian.ru/rent/flat/254276981/;['https://cdn-p.cian.site/images/75/035/601/posutochnaja-kvartira-volzhskiy-bulvar-114a-1065305736-4.jpg', 'https://cdn-p.cian.site/images/75/035/601/posutochnaja-kvartira-volzhskiy-bulvar-114a-1065305736-4.jpg', 'https://cdn-p.cian.site/images/75/035/601/posutochnaja-kvartira-volzhskiy-bulvar-114a-1065305752-2.jpg', 'https://cdn-p.cian.site/images/84/035/601/posutochnaja-kvartira-volzhskiy-bulvar-114a-1065304840-2.jpg', 'https://cdn-p.cian.site/images/75/035/601/posutochnaja-kvartira-volzhskiy-bulvar-114a-1065305746-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
Круглосуточно! Рядом с метро;1-комн. квартира, 40 м?;Москва, ВАО, р-н Вешняки, Вешняковская ул., 24К1;2 000 ?/сутки;7 из 25;40 м?;сегодня, 05:16;https://www.cian.ru/rent/flat/242631499/;['https://cdn-p.cian.site/images/4/038/469/kvartira-moskva-veshnyakovskaya-ulica-964830458-4.jpg', 'https://cdn-p.cian.site/images/4/038/469/kvartira-moskva-veshnyakovskaya-ulica-964830458-4.jpg', 'https://cdn-p.cian.site/images/4/038/469/kvartira-moskva-veshnyakovskaya-ulica-964830465-2.jpg', 'https://cdn-p.cian.site/images/4/038/469/kvartira-moskva-veshnyakovskaya-ulica-964830467-2.jpg', 'https://cdn-p.cian.site/images/4/038/469/kvartira-moskva-veshnyakovskaya-ulica-964830453-2.jpg']
;;;;;;;;
Апартаменты рядом с Белым Домом;2-комн. квартира, 57 м?;Москва, ЗАО, р-н Дорогомилово, Украинский бул., 6;3 900 ?/сутки;11 из 12;57 м?;сегодня, 07:21;https://www.cian.ru/rent/flat/194721396/;['https://cdn-p.cian.site/images/7/333/085/kvartira-moskva-ukrainskiy-bulvar-580333707-4.jpg', 'https://cdn-p.cian.site/images/7/333/085/kvartira-moskva-ukrainskiy-bulvar-580333707-4.jpg', 'https://cdn-p.cian.site/images/0/133/085/kvartira-moskva-ukrainskiy-bulvar-580331036-2.jpg', 'https://cdn-p.cian.site/images/0/433/085/kvartira-moskva-ukrainskiy-bulvar-580334085-2.jpg', 'https://cdn-p.cian.site/images/0/333/085/kvartira-moskva-ukrainskiy-bulvar-580333087-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 24 м?;Москва, СВАО, р-н Свиблово, проезд Серебрякова, 11к4;2 200 ?/сутки;5 из 7;24 м?;вчера, 20:06;https://www.cian.ru/rent/flat/232279791/;['https://cdn-p.cian.site/images/0/477/088/kvartira-moskva-proezd-serebryakova-880774046-4.jpg', 'https://cdn-p.cian.site/images/0/477/088/kvartira-moskva-proezd-serebryakova-880774046-4.jpg', 'https://cdn-p.cian.site/images/0/477/088/kvartira-moskva-proezd-serebryakova-880774052-2.jpg', 'https://cdn-p.cian.site/images/0/477/088/kvartira-moskva-proezd-serebryakova-880774055-2.jpg', 'https://cdn-p.cian.site/images/0/477/088/kvartira-moskva-proezd-serebryakova-880774042-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 45 м?;Москва, ЮВАО, р-н Текстильщики, ул. Артюхиной, 5;2 900 ?/сутки;11 из 12;45 м?;вчера, 23:58;https://www.cian.ru/rent/flat/219417927/;['https://cdn-p.cian.site/images/8/219/567/kvartira-moskva-ulica-artyuhinoy-765912825-4.jpg', 'https://cdn-p.cian.site/images/8/219/567/kvartira-moskva-ulica-artyuhinoy-765912825-4.jpg', 'https://cdn-p.cian.site/images/9/219/567/kvartira-moskva-ulica-artyuhinoy-765912923-2.jpg', 'https://cdn-p.cian.site/images/8/219/567/kvartira-moskva-ulica-artyuhinoy-765912822-2.jpg', 'https://cdn-p.cian.site/images/8/219/567/kvartira-moskva-ulica-artyuhinoy-765912824-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
